id_user,id_film,nama_user,tanggal_user,isi_user,rating_user
40317,10036,shafawatinadia,12-Sep-20,Very good movie,9
40285,10031,shanty_mulia,26-May-05,Arguably the best Indonesian movie since 2000,10
40224,10022,shdmnasution,28-Mar-19,very entertaining comedy movies,8
40293,10031,shedoesntrule,4-Feb-06,Pretty good; however..,8
40131,10011,shi612,22-Nov-05,Enjoyable adolescent movie from Indonesia with Hollywood taste,8
40227,10023,shiina_ringo_johansson,6-May-16,Ada Apa dengan Commercial; Never as Good as the First Time,7
40246,10026,sigitmurhadiyanto-42015,10-Nov-20,nice movie,9
40313,10035,Sir_AmirSyarif,29-Oct-20,Flawed but affecting and heart-warming,7
40325,10036,Sir_AmirSyarif,5-Sep-20,A time-loop comedy with unfulfilled potential,5
40111,10010,slytherinserpent,22-Nov-19,A really good movie,8
40019,10003,SoumikBanerjee1996,5-Jul-22,Didnt work for me,4
40368,10045,spookyrat1,5-Jun-20,It's No Raid!,4
40248,10026,SstrykerR,8-Jun-21,Fun little experience,7
40121,10011,suannz86,11-Jan-05,one of the best teen flicks ive ever seen.,10
40315,10035,suci_theblank,23-Jun-21,Very Good,10
40378,10047,Sugianto-165,16-Apr-22,Motivate,9
40129,10011,sukapesta,20-Sep-05,a delectable treat; but dont get your hopes up...,9
40307,10034,sukmolelono,7-May-19,a first step towards understanding the trauma of sexual assault,7
40398,10052,sutosinting,27-Jan-23,Indonesian tv class,3
40105,10009,syakam,28-Aug-22,So Many Unexpected Plot,9
40228,10023,syazwanrosman,4-May-16,An Unnecassary Sequel,4
40300,10032,talkmahesh,1-Jan-21,What a boring movie,2
40299,10032,talktoashish,17-Aug-21,Bah! Watch for Malay/Indonesian movie experience.,5
40286,10031,tazangelic,3-May-05,Almost perfect combination!,8
40253,10027,tedicaprio,25-Sep-19,Nicolas is spot-on,7
40241,10025,teguhtriguna,24-May-20,MUST WATCH movie with strong sense of Indonesian Culinary!,8
40050,10004,Thedragonmaster-20667,14-Jan-22,One of the best movie i have ever seen,10
40319,10036,thenickmusa,11-Sep-20,Heartwarming Film,9
40054,10004,thewalkingpuns,19-Jan-22,great story and great setting,7
40046,10004,thomasafik,14-Jan-22,Deserve more recognition,10
40009,10003,tiagocampos-02918,28-Jul-19,Away from the recent horror Hollywood crap,7
40118,10011,tiggerhans,13-Mar-02,A little gem from Indonesia! TeenLove hurts; but in the end they live happily ever after.,8
40124,10011,tiggerhans,6-Mar-02,Soap for the masses.,8
40005,10002,tomsalf,7-Oct-23,Laura is a STAR,9
40004,10001,tonciang-12-554394,18-Feb-24,Original and Fresh Dark Comedy,8
40167,10014,triaprilitatata,15-Oct-21,Success,9
40215,10019,tsutjipto,28-Nov-23,Touching and Marvelous,9
40320,10036,Ultraluna_,7-Sep-20,This movie is briliant!,9
40015,10003,umbertod-73386,2-Oct-17,Scary as sh*t!!!!,8
40334,10037,umbertod-73386,12-Nov-17,Surprise Me A Lot in a Good Way...,8
40258,10028,umpanumpan,7-Jan-13,Motivated !!,9
40205,10018,unhealthyobsession,21-Oct-20,One of Indonesias best,8
40126,10011,ve-handojo,28-Oct-02,to see again and again,7
40339,10037,vhandoyo,7-Jun-20,Tackling important subject elegantly,10
40395,10051,vhandoyo,7-Jun-20,Tackling important subject elegantly,10
40349,10040,vinaythakur-39463,14-Jan-21,dont waste your time,1
40372,10046,vinaythakur-39463,14-Jan-21,dont waste your time,1
40108,10010,vi-nino,22-Jul-19,Its TWO BLUE STRIPES movie; not JUNOs rip-off!,10
40174,10015,vi-nino,24-Dec-19,This is a movie that our society needs.,10
40376,10047,vi-nino,9-Aug-19,Nothing's new. But quite enough to motivate.,9
40281,10031,virtualmeanwhilee,27-Apr-05,Indonesian Cinema Gets Fresh Air,9
40021,10003,vmalast,16-Oct-18,Dont be fooled by good reviews,2
40139,10012,vrffhcn,21-Aug-22,Verry bad movie,1
40359,10043,vzudjoef,4-Jan-24,"High Expectations, High Disappointment",6
40184,10015,wahyuredhani,13-Mar-22,Okay,8
40269,10030,wanderational,19-Jan-20,The movie is quite good; but the rating is over-exaggerated,7
